timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
91997765,91892299,34369178311,0.0008761804,0.007868151,0.019766118,0,0.3307409,0.25761876,0.0,0.083053716,0.025319355,0.042524394,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,58.110302,58.358376,0.38168105,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
92201215,92091747,34369178311,0.0011302865,0.014612161,0.022382261,0,0.33031017,0.2577517,0.0,0.06618672,0.025647577,0.03529213,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,60.952187,58.358376,0.3976615,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
92396720,92291199,34369178311,0.0028452957,0.016729333,0.027582843,0,0.3298893,0.25789416,0.0,0.081596844,0.025161678,0.06607188,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,66.26863,58.358376,0.35068884,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
92596151,92490639,34369178311,0.002367583,0.010482398,0.02059769,0,0.32949647,0.2580458,0.0,0.022223609,0.024027381,0.05935567,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,59.281223,58.358376,0.40021196,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
92795813,92690162,34369178311,0.004252224,0.0227446,0.03825473,0,0.32920015,0.2582119,0.0,0.09829742,0.0259229,0.059721142,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,60.170406,58.358376,0.39704567,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
92995140,92889560,34369178311,0.003462007,0.018288756,0.033137687,0,0.3289468,0.25837958,0.0,0.060124513,0.027416332,0.05054963,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,62.54214,58.358376,0.37824917,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
93194663,93089094,34369178311,0.0038157932,0.018019022,0.031849395,0,0.32870483,0.25854096,0.0,0.05798769,0.027992703,0.048661985,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,61.765198,58.358376,0.44368774,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
93394116,93288512,34369178311,0.0028120899,0.017589161,0.034687284,0,0.32826695,0.25865665,0.0,0.08023196,0.045989763,0.06952183,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,61.84869,58.358376,0.39994854,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
93593810,93488012,34369178311,0.0016681507,0.014277635,0.031857945,0,0.3275826,0.25941178,0.0,0.07191251,0.045719787,0.055120114,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,57.694897,58.358376,0.4176041,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
93792973,93687462,34369178311,0.0014093455,0.010391216,0.021405209,0,0.326732,0.25942647,0.0,0.1179281,0.039244324,0.058857836,0.0,nan,0.0,0.0,2424842,2424842,3997730,8944899,58.82392,58.358376,0.30472985,0.46025112,0,0,831,2,2,2,2,2,0,0,0,0,0,0,0
