timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
99644149,99605983,8944899,-0.05842996,0.08604778,0.34199256,3
99693852,99675203,8944899,-0.114933945,0.17366207,0.29347393,3
99781041,99743637,8944899,-0.025054239,0.20834474,0.2725646,3
99830722,99812057,8944899,-0.04462365,0.21937954,0.3613681,3
99918894,99881453,8944899,-0.075984396,0.2575496,0.3339924,3
99968816,99950365,8944899,-0.058756895,0.12661633,0.29214498,3
100055814,100018618,8944899,-0.0909077,0.18035978,0.3483842,3
100106792,100087137,8944899,-0.05636866,0.14392103,0.29903457,3
100193903,100156589,8944899,-0.025553564,0.1758625,0.32827616,3
100243600,100224951,8944899,-0.07347622,0.28837502,0.32842454,3
100331649,100293519,8944899,-0.07506421,0.17677502,0.3119442,3
100381581,100362595,8944899,-0.03693604,0.14496562,0.39689618,3
100468723,100431394,8944899,-0.12142676,0.14910117,0.32208046,3
100518323,100499705,8944899,-0.047189564,0.16889432,0.25753736,3
100606763,100568378,8944899,-0.03263687,0.19878964,0.33125567,3
100656523,100637576,8944899,-0.064935364,0.19628558,0.3660993,3
100743566,100706218,8944899,-0.06935105,0.12309969,0.31100816,3
100793602,100774965,8944899,-0.07899811,0.112214416,0.40981486,3
100881873,100843461,8944899,-0.12584074,0.14861594,0.32501447,3
100931626,100912606,8944899,-0.05857716,0.122397915,0.2721255,3
101018806,100981478,8944899,-0.028368166,0.24097976,0.33283973,3
101068532,101049874,8944899,-0.029974978,0.18002003,0.3236536,3
101155746,101118531,8944899,0.0018160336,0.15645927,0.3172383,3
101206563,101187451,8944899,-0.06077787,0.20838466,0.33212003,3
101293898,101256323,8944899,-0.045826163,0.1884512,0.33253402,3
101343492,101324705,8944899,-0.025030807,0.12993242,0.30267513,3
101431561,101393551,8944899,-0.07931737,0.19850497,0.32013077,3
101481387,101462651,8944899,0.06610203,0.23638503,0.2876404,3
101568596,101531114,8944899,0.020064449,0.20883109,0.32513794,3
101618388,101599667,8944899,-0.06623235,0.25599813,0.27260306,3
101706588,101668630,8944899,-0.04902399,0.16795717,0.28708273,3
101756414,101737671,8944899,-0.021796415,0.12208099,0.3705666,3
101843392,101806087,8944899,-0.040146895,0.20241772,0.3454794,3
101893077,101874434,8944899,0.00078236405,0.10207264,0.29278955,3
101981674,101943914,8944899,-0.05896739,0.1992728,0.35268992,3
102031589,102012708,8944899,-0.021879435,0.19875056,0.32359904,3
102118486,102080939,8944899,-0.019202407,0.15010229,0.35888928,3
102168132,102149516,8944899,-0.10037819,0.3035758,0.2868697,3
102256354,102218885,8944899,-0.008671394,0.16034369,0.29708138,3
102306040,102287369,8944899,0.021710088,0.1791424,0.3760786,3
102393232,102356045,8944899,-0.053516347,0.20429586,0.3102907,3
102444796,102425029,8944899,-0.016605562,0.21131533,0.26575744,3
102531031,102493824,8944899,-0.05943193,0.15801482,0.37649947,3
102580962,102562277,8944899,-0.16367978,0.16274986,0.32387945,3
102668247,102630748,8944899,-0.13961712,0.13031809,0.32645512,3
102718897,102700248,8944899,-0.04605583,0.12431957,0.32904464,3
102806144,102768855,8944899,-0.028426753,0.1910511,0.31625506,3
102855842,102837228,8944899,0.029050581,0.22026496,0.3750027,3
102943986,102906190,8944899,-0.05529133,0.20658216,0.34503302,3
102993973,102975237,8944899,-0.042645615,0.18224117,0.36088836,3
103081266,103043724,8944899,-0.031882297,0.1419832,0.344935,3
103130792,103112029,8944899,-0.10005495,0.1723563,0.3104915,3
103219006,103181097,8944899,-0.021246184,0.17196342,0.30277145,3
103268778,103250067,8944899,0.0131406095,0.17705823,0.34468,3
103357640,103318801,8944899,-0.06182973,0.24157089,0.3305803,3
103405721,103387005,8944899,-0.07702906,0.24956131,0.32570162,3
103494584,103456331,8944899,-0.034737047,0.1525005,0.34403864,3
103543775,103524962,8944899,-0.08352704,0.23546289,0.29505467,3
103631527,103593657,8944899,-0.012658198,0.17904313,0.2891401,3
103680659,103661946,8944899,-0.025291149,0.2128792,0.36832127,3
103769973,103731519,8944899,-0.10025337,0.21664865,0.333631,3
103818745,103799973,8944899,-0.070723586,0.099169716,0.28256288,3
103905642,103868314,8944899,-0.05807702,0.20477398,0.33038145,3
103956534,103937573,8944899,-0.007629321,0.2245999,0.3384577,3
104043700,104006270,8944899,-0.011493695,0.16948445,0.3503615,3
104093435,104074856,8944899,-0.115389906,0.22553194,0.30554795,3
104180640,104143411,8944899,-0.06126567,0.22861418,0.3378361,3
104231575,104212414,8944899,-0.06339773,0.12798823,0.28572196,3
104318537,104281234,8944899,-0.085840516,0.20688497,0.33925602,3
104368449,104349737,8944899,-0.057872005,0.17204043,0.3107806,3
104456579,104418439,8944899,-0.03284609,0.18221234,0.3198964,3
104506391,104487670,8944899,-0.0912998,0.24252902,0.31763846,3
104593845,104556282,8944899,-0.025508912,0.19664827,0.30643457,3
104643227,104624709,8944899,-0.03775739,0.20667306,0.39543214,3
104731449,104693478,8944899,-0.09407242,0.20268133,0.29515338,3
104781513,104762720,8944899,-0.020438815,0.13851494,0.29885742,3
104868688,104831154,8944899,-0.08270206,0.20819573,0.33494127,3
104918176,104899630,8944899,-0.07193595,0.1485168,0.27967644,3
105006641,104968557,8944899,-0.078763865,0.17847975,0.34106833,3
105056250,105037626,8944899,-0.05865948,0.14383669,0.35628286,3
105143225,105105945,8944899,-0.0096944915,0.18580383,0.30832788,3
105193197,105174522,8944899,-0.06624113,0.27625337,0.27931744,3
105281363,105243664,8944899,-0.014872622,0.2233186,0.29405594,3
105331352,105312469,8944899,-0.07238081,0.17876598,0.38934347,3
105418272,105381000,8944899,-0.1416912,0.1640002,0.34094563,3
105468006,105449353,8944899,-0.104371324,0.16109595,0.31569067,3
105557085,105518953,8944899,-0.097638816,0.12084088,0.36702028,3
105606089,105587404,8944899,-0.123494625,0.15581319,0.32396418,3
105693135,105655826,8944899,-0.046418883,0.16940492,0.3293239,3
105743988,105724960,8944899,-0.068270475,0.20967908,0.3450641,3
105831252,105793839,8944899,-0.056301467,0.19884625,0.32190245,3
105880900,105862259,8944899,-0.040625557,0.15527108,0.2997705,3
105968292,105930815,8944899,-0.04668559,0.23073232,0.28870094,3
