timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
90600301,-1.4206171,0.20259412,nan,0.086632065,0.14750399,1.3816578,-0.11802128,-0.3391088,17.050415,-0.0014431934,-0.0041467063,-0.11991964,-0.41246217,-1.8074642e-08
90695693,-1.4206171,0.20259412,nan,0.071524896,0.12737624,1.4235578,0.2899594,0.44327596,16.681547,0.0035429704,0.0054163225,-0.11982533,-0.41777182,-6.232403e-09
90801469,-1.4206171,0.20259412,nan,0.065872535,0.11270064,1.466835,-0.08295713,0.08199271,15.199349,-0.0010147997,0.001003002,-0.11999151,-0.42835933,-1.9283648e-09
90896946,-1.4206171,0.20259412,nan,0.060327422,0.09439219,1.4986261,0.03599089,0.30988166,14.553558,0.00044019314,0.003790064,-0.11993932,-0.4219485,-6.645051e-10
91002852,-1.4206171,0.20259412,nan,0.05916413,0.08373172,1.5,0.17414981,0.02511143,18.47258,0.0021303534,0.00030718508,-0.11998069,-0.42043537,-2.0539505e-10
91098215,-1.4206171,0.20259412,nan,0.058933668,0.06760793,1.5,0.2365683,0.23379412,17.906574,0.0028931191,0.002859192,-0.11993104,-0.42740488,-7.08057e-11
91193613,-1.4206171,0.20259412,nan,0.06386305,0.065137126,1.5,0.27609593,0.12127055,18.213543,0.0033765868,0.0014831097,-0.11994331,-0.4313777,-2.757771e-11
91299839,-1.4206171,0.20259412,nan,0.0681502,0.06687601,1.5,0.22955646,0.63284427,18.184246,0.0028023997,0.0077256914,-0.11971825,-0.43250203,-7.5205155e-12
91395244,-1.4206171,0.20259412,nan,0.07106941,0.07682268,1.5,0.13266584,0.12965572,17.362358,0.0016228898,0.0015860674,-0.11997854,-0.43627745,-2.591835e-12
91500832,-1.4206171,0.20259412,nan,0.07262885,0.08993839,1.5,0.47434914,0.550285,16.841839,0.0057885353,0.006715189,-0.119672045,-0.43328506,-8.034024e-13
91596515,-1.4206171,0.20259412,nan,0.079765566,0.09731512,1.5,0.3815796,-0.09263572,16.015257,0.004665528,-0.0011326459,-0.119903915,-0.44019622,-2.773997e-13
91702132,-1.4206171,0.20259412,nan,0.09970189,0.10353623,1.5,0.67448395,0.4477181,15.383395,0.008225407,0.0054599727,-0.11959319,-0.4421103,-8.5963165e-14
91797491,-1.4206171,0.20259412,nan,0.11824412,0.100449145,1.5,0.65555346,0.0017718896,15.049115,0.008003906,2.1633688e-05,-0.11973277,-0.4423756,-2.9665964e-14
91892756,-1.4206171,0.20259412,nan,0.13507085,0.09848727,1.5,0.34519058,0.43458998,14.091543,0.0042171637,0.005309348,-0.11980829,-0.45137507,-1.1586467e-14
91998895,-1.4206171,0.20259412,nan,0.14377832,0.095452376,1.5,-0.03998196,-0.08812811,13.46462,-0.0004895703,-0.0010791094,-0.11999415,-0.45619005,-3.1588933e-15
92093937,-1.4206171,0.20259412,nan,0.14451784,0.094484195,1.5,0.5698186,0.5454959,12.787769,0.006950158,0.00665349,-0.119613655,-0.45007533,-1.2322234e-15
92200137,-1.4206171,0.20259412,nan,0.14414547,0.08995313,1.5,0.4146884,-0.03361021,11.639572,0.0050697764,-0.0004109019,-0.11989215,-0.45304465,-3.3672373e-16
92295301,-1.4206171,0.20259412,nan,0.14630763,0.08492154,1.5,0.5656692,0.3680135,11.352245,0.0069054654,0.004492563,-0.119716875,-0.45707822,-1.1645223e-16
92401368,-1.4206171,0.20259412,nan,0.15688404,0.07995726,1.5,0.5958687,0.033060066,11.033018,0.007277832,0.00040378966,-0.11977842,-0.4583335,-3.5927253e-17
92496923,nan,nan,nan,nan,nan,nan,0.0,0.0,100.0,-0.0,-0.0,-0.12,-0.45901087,0.0
