timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
94397893,2621474,2490402,2621474,2424842,0,0.41579235,0.31341603,0.20103303,0.0,2621474,2490402,2621474,2424842,0,0.04245344,0.04102738,0.01368539,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
94599265,2621474,2490402,2621474,2424842,0,0.8912584,0.37432528,0.5546978,0.0,2621474,2490402,2621474,2424842,0,0.05212978,0.061428618,0.018263057,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
94800607,2621474,2490402,2621474,2424842,0,0.50076425,0.2800555,0.3147559,0.0,2621474,2490402,2621474,2424842,0,0.028965496,0.083115,0.06743674,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95001781,2621474,2490402,2621474,2424842,0,0.55491513,0.3332338,0.5783444,0.0,2621474,2490402,2621474,2424842,0,0.04542501,0.050190087,0.03480878,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95197742,2621474,2490402,2621474,2424842,0,0.8812197,0.24682745,0.66968405,0.0,2621474,2490402,2621474,2424842,0,0.025050275,0.042802975,0.045936078,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95399073,2621474,2490402,2621474,2424842,0,0.5238576,0.48299664,0.41364977,0.0,2621474,2490402,2621474,2424842,0,0.017748816,0.04023641,0.028003652,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95600402,2621474,2490402,2621474,2424842,0,0.665457,0.3807146,0.46517757,0.0,2621474,2490402,2621474,2424842,0,0.034984246,0.032633513,0.014413354,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95801665,2621474,2490402,2621474,2424842,0,0.6904943,0.6266529,0.87107813,0.0,2621474,2490402,2621474,2424842,0,0.06073852,0.07915411,0.0210939,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
95997676,2621474,2490402,2621474,2424842,0,0.71703005,0.28557077,0.82812226,0.0,2621474,2490402,2621474,2424842,0,0.04833086,0.07687152,0.035006758,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
96198938,2621474,2490402,2621474,2424842,0,0.65481097,0.20023547,0.67792404,0.0,2621474,2490402,2621474,2424842,0,0.11505417,0.09144749,0.029167986,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
96400256,2621474,2490402,2621474,2424842,0,0.36020225,0.5985665,0.5821225,0.0,2621474,2490402,2621474,2424842,0,0.032071277,0.06824534,0.04511721,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
96601467,2621474,2490402,2621474,2424842,0,0.5572962,0.7022745,0.63811857,0.0,2621474,2490402,2621474,2424842,0,0.058075547,0.05073985,0.017729392,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
96797549,2621474,2490402,2621474,2424842,0,0.51918507,0.28751186,0.56936157,0.0,2621474,2490402,2621474,2424842,0,0.06836765,0.06539069,0.020503953,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
96998801,2621474,2490402,2621474,2424842,0,0.7845753,0.5206197,0.34461364,0.0,2621474,2490402,2621474,2424842,0,0.054156,0.067942776,0.025491681,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
97200056,2621474,2490402,2621474,2424842,0,0.74849707,0.4347358,0.5738827,0.0,2621474,2490402,2621474,2424842,0,0.053991944,0.017107459,0.03995189,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
97401405,2621474,2490402,2621474,2424842,0,0.46658304,0.4835817,0.26990837,0.0,2621474,2490402,2621474,2424842,0,0.037686426,0.039660983,0.01718256,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
97597435,2621474,2490402,2621474,2424842,0,1.2359445,0.5138615,0.753754,0.0,2621474,2490402,2621474,2424842,0,0.0247638,0.056192704,0.033202756,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
97798696,2621474,2490402,2621474,2424842,0,0.4213741,0.40715808,0.15252495,0.0,2621474,2490402,2621474,2424842,0,0.06031941,0.031049838,0.032728225,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
97999947,2621474,2490402,2621474,2424842,0,0.6476268,0.38645405,0.3024833,0.0,2621474,2490402,2621474,2424842,0,0.037996173,0.028223254,0.011239248,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
98201256,2621474,2490402,2621474,2424842,0,0.5490049,0.30367473,0.2839094,0.0,2621474,2490402,2621474,2424842,0,0.037775286,0.064493924,0.038163237,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
98397359,2621474,2490402,2621474,2424842,0,0.4262399,0.396773,0.061708953,0.0,2621474,2490402,2621474,2424842,0,0.026661582,0.011543349,0.018035483,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
98598541,2621474,2490402,2621474,2424842,0,0.22037348,0.1341564,0.24944203,0.0,2621474,2490402,2621474,2424842,0,0.037830926,0.037857704,0.010033473,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
98799810,2621474,2490402,2621474,2424842,0,0.5855652,0.29032212,0.36219102,0.0,2621474,2490402,2621474,2424842,0,0.016318101,0.05236547,0.039626535,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
99001085,2621474,2490402,2621474,2424842,0,0.63158053,0.25522077,0.50463176,0.0,2621474,2490402,2621474,2424842,0,0.062355086,0.03315634,0.032973353,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
99202421,2621474,2490402,2621474,2424842,0,1.4464184,0.7709669,0.7286634,0.0,2621474,2490402,2621474,2424842,0,0.047961995,0.04056125,0.020439496,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
99398444,2621474,2490402,2621474,2424842,0,0.5063629,0.37694117,0.33119673,0.0,2621474,2490402,2621474,2424842,0,0.046845842,0.017279614,0.04837049,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
99599790,2621474,2490402,2621474,2424842,0,0.39389607,0.37128377,0.7554415,0.0,2621474,2490402,2621474,2424842,0,0.045567647,0.034406837,0.055514235,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
99801033,2621474,2490402,2621474,2424842,0,0.26895407,0.433512,0.35473713,0.0,2621474,2490402,2621474,2424842,0,0.005342391,0.007439603,0.010597832,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
