timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
80833318,80832950,-0.02083241,0.035077892,-0.10143556,-0.10036743,8.248413,-4.7838335
80834653,80834337,-0.014002921,0.06313993,-0.061142813,1.0913446,10.919547,2.8963442
80835899,80835583,-0.002103363,0.037060324,-0.033591524,2.8050697,4.044805,6.7128644
80837176,80836859,0.007926409,-0.03195014,-0.024532791,3.8257186,-8.220555,6.698311
80838474,80838157,0.008872022,-0.08600782,-0.011533589,3.1140132,-15.1453905,7.4090137
80839809,80839493,0.007431185,-0.08714287,0.0061654737,2.1970885,-11.820711,8.679949
80841163,80840850,0.0035431627,-0.03873375,0.0118409265,1.0650159,-1.1582091,7.655824
80842495,80842156,-0.002384573,0.028334053,0.0079915235,-0.1449962,10.099933,5.356427
80843837,80843491,-0.006698183,0.07195362,0.01579783,-0.78639424,14.889544,5.525872
80845166,80844849,0.005700691,0.056457568,0.03777901,1.4882742,8.878355,7.950512
80846495,80846155,0.021033615,0.0035935172,0.054601174,3.6506994,-1.7892246,8.921821
80847802,80847489,0.022952594,-0.046468142,0.060548063,3.1197367,-9.567477,7.9308476
80849166,80848848,0.006362737,-0.06982937,0.0708493,-0.3472312,-11.177642,7.91513
80850416,80850100,-0.01609183,-0.0471906,0.078909986,-3.9425159,-4.851272,7.4504585
80851750,80851425,-0.029248303,0.014327232,0.07199364,-5.1682224,6.369963,4.6465816
