timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
85695237,-0.014543046,-0.005291318,-0.13850273,0.0,0.99757195,-0.007437068,-0.0021360905,-0.06921315,0.0,0.0,-0.06185435,0,0
85748325,0.0337746,-0.022955816,-0.13850272,0.0,0.99740857,0.016050817,-0.012616914,-0.068988234,0.0,0.0,-0.074439295,0,0
85801159,-0.016850155,-0.021578511,-0.13850273,0.0,0.99750334,-0.009150826,-0.010179862,-0.06928022,0.0,0.0,-0.07632241,0,0
85843572,-0.007691137,-0.009372034,-0.13850272,0.0,0.99758357,-0.0041605495,-0.004408639,-0.06921273,0.0,0.0,-0.08812613,0,0
85896704,0.031141557,-0.031644598,-0.13850273,0.0,0.99737436,0.014436222,-0.016859056,-0.068933204,0.0,0.0,-0.08911627,0,0
85950339,-0.010721853,-0.012949914,-0.13850272,0.0,0.99756545,-0.00579597,-0.0060883528,-0.06922821,0.0,0.0,-0.09674532,0,0
86002471,-0.022187317,-0.02120153,-0.1385027,0.0,0.99747753,-0.01179969,-0.009806929,-0.06930519,0.0,0.0,-0.10157474,0,0
86044848,0.006363519,-0.027564859,-0.13850272,0.0,0.9975063,0.002220172,-0.013969032,-0.06914536,0.0,0.0,-0.12181584,0,0
86098120,0.038598422,-0.015710466,-0.13850272,0.0,0.997397,0.018707719,-0.009170169,-0.06902976,0.0,0.0,-0.10383132,0,0
86151038,0.019928865,-0.028937366,-0.13850272,0.0,0.9974591,0.008938253,-0.015122199,-0.06904152,0.0,0.0,-0.13945161,0,0
86193001,-0.020252688,-0.016289348,-0.13850272,0.0,0.9975131,-0.010665108,-0.007423978,-0.06927245,0.0,0.0,-0.13557689,0,0
86246064,0.0134801185,-0.023051068,-0.13850272,0.0,0.99751955,0.005925921,-0.011963743,-0.06911235,0.0,0.0,-0.15552294,0,0
86299051,0.043785095,-0.030566575,-0.1385027,0.0,0.9972707,0.020778531,-0.016756987,-0.068837605,0.0,0.0,-0.14793086,0,0
86352326,-0.010856739,-0.026868733,-0.13850272,0.0,0.9974933,-0.0063444055,-0.013025978,-0.0692615,0.0,0.0,-0.14379553,0,0
86394485,-0.036946177,-0.0428208,-0.1385027,0.0,0.9971769,-0.019904684,-0.020075908,-0.06956285,0.0,0.0,-0.1318789,0,0
86447633,0.048715133,-0.056652766,-0.13850272,0.0,0.9969548,0.022327805,-0.029930929,-0.06845959,0.0,0.0,-0.11122468,0,0
86500244,0.058387734,-0.043997604,-0.13850273,0.0,0.99698114,0.027591253,-0.023954278,-0.06850925,0.0,0.0,-0.101034775,0,0
86542700,0.010281939,-0.0685437,-0.13850272,0.0,0.9970163,0.0027546324,-0.034538087,-0.06897874,0.0,0.0,-0.10688508,0,0
